INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
275	400	2	23160	23161	23162	23163	23164	23165	23166	23167	23168	23169	23170	23171	23172	23173	23174	23175
275	600	2	23570	23571	23572	23573	23574	23575	23576	23577	23578	23579	23580	23581	23582	23583	23584	23585
275	800	2	23980	23981	23982	23983	23984	23985	23986	23987	23988	23989	23990	23991	23992	23993	23994	23995
275	1000	2	24390	24391	24392	24393	24394	24395	24396	24397	24398	24399	24400	24401	24402	24403	24404	24405
#降低移动速度
275	200	3	32176	32177	32178	32179	32180	32181	32182	32183	32184	32185	32186	32187	32188	32189	32190	32191
275	400	3	23176	23177	23178	23179	23180	23181	23182	23183	23184	23185	23186	23187	23188	23189	23190	23191
275	600	3	23586	23587	23588	23589	23590	23591	23592	23593	23594	23595	23596	23597	23598	23599	23600	23601
275	800	3	23996	23997	23998	23999	24000	24001	24002	24003	24004	24005	24006	24007	24008	24009	24010	24011
275	1000	3	24406	24407	24408	24409	24410	24411	24412	24413	24414	24415	24416	24417	24418	24419	24420	24421
#定身
275	200	4	32192	32193	32194	32195	32196	32197	32198	32199	32200	32201	32202	32203	32204	32205	32206	32207
275	400	4	23192	23193	23194	23195	23196	23197	23198	23199	23200	23201	23202	23203	23204	23205	23206	23207
275	600	4	23602	23603	23604	23605	23606	23607	23608	23609	23610	23611	23612	23613	23614	23615	23616	23617
275	800	4	24012	24013	24014	24015	24016	24017	24018	24019	24020	24021	24022	24023	24024	24025	24026	24027
275	1000	4	24422	24423	24424	24425	24426	24427	24428	24429	24430	24431	24432	24433	24434	24435	24436	24437
#散功
275	200	5	32208	32209	32210	32211	32212	32213	32214	32215	32216	32217	32218	32219	32220	32221	32222	32223
275	400	5	23208	23209	23210	23211	23212	23213	23214	23215	23216	23217	23218	23219	23220	23221	23222	23223
275	600	5	23618	23619	23620	23621	23622	23623	23624	23625	23626	23627	23628	23629	23630	23631	23632	23633
275	800	5	24028	24029	24030	24031	24032	24033	24034	24035	24036	24037	24038	24039	24040	24041	24042	24043
275	1000	5	24438	24439	24440	24441	24442	24443	24444	24445	24446	24447	24448	24449	24450	24451	24452	24453
#失明
275	200	6	32224	32225	32226	32227	32228	32229	32230	32231	32232	32233	32234	32235	32236	32237	32238	32239
275	400	6	23224	23225	23226	23227	23228	23229	23230	23231	23232	23233	23234	23235	23236	23237	23238	23239
275	600	6	23634	23635	23636	23637	23638	23639	23640	23641	23642	23643	23644	23645	23646	23647	23648	23649
275	800	6	24044	24045	24046	24047	24048	24049	24050	24051	24052	24053	24054	24055	24056	24057	24058	24059
275	1000	6	24454	24455	24456	24457	24458	24459	24460	24461	24462	24463	24464	24465	24466	24467	24468	24469
#恐惧
275	200	7	32240	32241	32242	32243	32244	32245	32246	32247	32248	32249	32250	32251	32252	32253	32254	32255
275	400	7	23240	23241	23242	23243	23244	23245	23246	23247	23248	23249	23250	23251	23252	23253	23254	23255
275	600	7	23650	23651	23652	23653	23654	23655	23656	23657	23658	23659	23660	23661	23662	23663	23664	23665
275	800	7	24060	24061	24062	24063	24064	24065	24066	24067	24068	24069	24070	24071	24072	24073	24074	24075
275	1000	7	24470	24471	24472	24473	24474	24475	24476	24477	24478	24479	24480	24481	24482	24483	24484	24485
#点穴
275	200	8	32256	32257	32258	32259	32260	32261	32262	32263	32264	32265	32266	32267	32268	32269	32270	32271
275	400	8	23256	23257	23258	23259	23260	23261	23262	23263	23264	23265	23266	23267	23268	23269	23270	23271
275	600	8	23666	23667	23668	23669	23670	23671	23672	23673	23674	23675	23676	23677	23678	23679	23680	23681
275	800	8	24076	24077	24078	24079	24080	24081	24082	24083	24084	24085	24086	24087	24088	24089	24090	24091
275	1000	8	24486	24487	24488	24489	24490	24491	24492	24493	24494	24495	24496	24497	24498	24499	24500	24501
#麻痹
275	200	9	32272	32273	32274	32275	32276	32277	32278	32279	32280	32281	32282	32283	32284	32285	32286	32287
275	400	9	23272	23273	23274	23275	23276	23277	23278	23279	23280	23281	23282	23283	23284	23285	23286	23287
275	600	9	23682	23683	23684	23685	23686	23687	23688	23689	23690	23691	23692	23693	23694	23695	23696	23697
275	800	9	24092	24093	24094	24095	24096	24097	24098	24099	24100	24101	24102	24103	24104	24105	24106	24107
275	1000	9	24502	24503	24504	24505	24506	24507	24508	24509	24510	24511	24512	24513	24514	24515	24516	24517
#围困
275	200	10	32288	32289	32290	32291	32292	32293	32294	32295	32296	32297	32298	32299	32300	32301	32302	32303
275	400	10	23288	23289	23290	23291	23292	23293	23294	23295	23296	23297	23298	23299	23300	23301	23302	23303
275	600	10	23698	23699	23700	23701	23702	23703	23704	23705	23706	23707	23708	23709	23710	23711	23712	23713
275	800	10	24108	24109	24110	24111	24112	24113	24114	24115	24116	24117	24118	24119	24120	24121	24122	24123
275	1000	10	24518	24519	24520	24521	24522	24523	24524	24525	24526	24527	24528	24529	24530	24531	24532	24533
#昏睡
275	200	11	32304	32305	32306	32307	32308	32309	32310	32311	32312	32313	32314	32315	32316	32317	32318	32319
275	400	11	23304	23305	23306	23307	23308	23309	23310	23311	23312	23313	23314	23315	23316	23317	23318	23319
275	600	11	23714	23715	23716	23717	23718	23719	23720	23721	23722	23723	23724	23725	23726	23727	23728	23729
275	800	11	24124	24125	24126	24127	24128	24129	24130	24131	24132	24133	24134	24135	24136	24137	24138	24139
275	1000	11	24534	24535	24536	24537	24538	24539	24540	24541	24542	24543	24544	24545	24546	24547	24548	24549
#增加自身力量
276	200	1	32320	32321	32322	32323	32324	32325	32326	32327	32328	32329	32330	32331	32332	32333	32334	32335
276	400	1	23320	23321	23322	23323	23324	23325	23326	23327	23328	23329	23330	23331	23332	23333	23334	23335
276	600	1	23730	23731	23732	23733	23734	23735	23736	23737	23738	23739	23740	23741	23742	23743	23744	23745
276	800	1	24140	24141	24142	24143	24144	24145	24146	24147	24148	24149	24150	24151	24152	24153	24154	24155
276	1000	1	24550	24551	24552	24553	24554	24555	24556	24557	24558	24559	24560	24561	24562	24563	24564	24565
#增加自身灵气
276	200	2	32336	32337	32338	32339	32340	32341	32342	32343	32344	32345	32346	32347	32348	32349	32350	32351
276	400	2	23336	23337	23338	23339	23340	23341	23342	23343	23344	23345	23346	23347	23348	23349	23350	23351
276	600	2	23746	23747	23748	23749	23750	23751	23752	23753	23754	23755	23756	23757	23758	23759	23760	23761
276	800	2	24156	24157	24158	24159	24160	24161	24162	24163	24164	24165	24166	24167	24168	24169	24170	24171
276	1000	2	24566	24567	24568	24569	24570	24571	24572	24573	24574	24575	24576	24577	24578	24579	24580	24581
#增加自身体力
276	200	3	32352	32353	32354	32355	32356	32357	32358	32359	32360	32361	32362	32363	32364	32365	32366	32367
276	400	3	23352	23353	23354	23355	23356	23357	23358	23359	23360	23361	23362	23363	23364	23365	23366	23367
276	600	3	23762	23763	23764	23765	23766	23767	23768	23769	23770	23771	23772	23773	23774	23775	23776	23777
276	800	3	24172	24173	24174	24175	24176	24177	24178	24179	24180	24181	24182	24183	24184	24185	24186	24187
276	1000	3	24582	24583	24584	24585	24586	24587	24588	24589	24590	24591	24592	24593	24594	24595	24596	24597
#增加自身定力
276	200	4	32368	32369	32370	32371	32372	32373	32374	32375	32376	32377	32378	32379	32380	32381	32382	32383
276	400	4	23368	23369	23370	23371	23372	23373	23374	23375	23376	23377	23378	23379	23380	23381	23382	23383
276	600	4	23778	23779	23780	23781	23782	23783	23784	23785	23786	23787	23788	23789	23790	23791	23792	23793
276	800	4	24188	24189	24190	24191	24192	24193	24194	24195	24196	24197	24198	24199	24200	24201	24202	24203
276	1000	4	24598	24599	24600	24601	24602	24603	24604	24605	24606	24607	24608	24609	24610	24611	24612	24613
#增加自身身法
276	200	5	32384	32385	32386	32387	32388	32389	32390	32391	32392	32393	32394	32395	32396	32397	32398	32399
276	400	5	23384	23385	23386	23387	23388	23389	23390	23391	23392	23393	23394	23395	23396	23397	23398	23399
276	600	5	23794	23795	23796	23797	23798	23799	23800	23801	23802	23803	23804	23805	23806	23807	23808	23809
276	800	5	24204	24205	24206	24207	24208	24209	24210	24211	24212	24213	24214	24215	24216	24217	24218	24219
276	1000	5	24614	24615	24616	24617	24618	24619	24620	24621	24622	24623	24624	24625	24626	24627	24628	24629
#增加血上限，气上限
276	200	6	21110	21110	21110	21110	21110	21110	21110	21110	21110	21110	21110	21110	21110	21110	21110	21110
276	400	6	21113	21113	21113	21113	21113	21113	21113	21113	21113	21113	21113	21113	21113	21113	21113	21113
276	600	6	21116	21116	21116	21116	21116	21116	21116	21116	21116	21116	21116	21116	21116	21116	21116	21116
276	800	6	21119	21119	21119	21119	21119	21119	21119	21119	21119	24213	24214	24215	24215	24215	24215	24215
276	1000	6	21122	21122	21122	21122	21122	21122	21122	21122	21122	21122	21122	21122	21122	21122	21122	21122
#增加外功攻击，外功防御
276	200	7	21111	21111	21111	21111	21111	21111	21111	21111	21111	21111	21111	21111	21111	21111	21111	21111
276	400	7	21114	21114	21114	21114	21114	21114	21114	21114	21114	21114	21114	21114	21114	21114	21114	21114
276	600	7	21117	21117	21117	21117	21117	21117	21117	21117	21117	21117	21117	21117	21117	21117	21117	21117
276	800	7	21120	21120	21120	21120	21120	21120	21120	21120	21120	21120	21120	21120	21120	21120	21120	21120
276	1000	7	21123	21123	21123	21123	21123	21123	21123	21123	21123	21123	21123	21123	21123	21123	21123	21123
#增加内功攻击，内功防御
276	200	8	21112	21112	21112	21112	21112	21112	21112	21112	21112	21112	21112	21112	21112	21112	21112	21112
276	400	8	21115	21115	21115	21115	21115	21115	21115	21115	21115	21115	21115	21115	21115	21115	21115	21115
276	600	8	21118	21118	21118	21118	21118	21118	21118	21118	21118	21118	21118	21118	21118	21118	21118	21118
276	800	8	21121	21121	21121	21121	21121	21121	21121	21121	21121	21121	21121	21121	21121	21121	21121	21121
276	1000	8	21124	21124	21124	21124	21124	21124	21124	21124	21124	21124	21124	21124	21124	21124	21124	21124
#增加血上限
276	200	9	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400	32400
276	400	9	23400	23400	23400	23400	23400	23400	23400	23400	23400	23400	23400	23400	23400	23400	23400	23400
276	600	9	23810	23810	23810	23810	23810	23810	23810	23810	23810	23810	23810	23810	23810	23810	23810	23810
276	800	9	24220	24220	24220	24220	24220	24220	24220	24220	24220	24220	24220	24220	24220	24220	24220	24220
276	1000	9	24630	24630	24630	24630	24630	24630	24630	24630	24630	24630	24630	24630	24630	24630	24630	24630
#增加气上限
276	200	10	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401	32401
276	400	10	23401	23401	23401	23401	23401	23401	23401	23401	23401	23401	23401	23401	23401	23401	23401	23401
276	600	10	23811	23811	23811	23811	23811	23811	23811	23811	23811	23811	23811	23811	23811	23811	23811	23811
276	800	10	24221	24221	24221	24221	24221	24221	24221	24221	24221	24221	24221	24221	24221	24221	24221	24221
276	1000	10	24631	24631	24631	24631	24631	24631	24631	24631	24631	24631	24631	24631	24631	24631	24631	24631
#增加外功攻击
276	200	11	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402	32402
276	400	11	23402	23402	23402	23402	23402	23402	23402	23402	23402	23402	23402	23402	23402	23402	23402	23402
276	600	11	23812	23812	23812	23812	23812	23812	23812	23812	23812	23812	23812	23812	23812	23812	23812	23812
276	800	11	24222	24222	24222	24222	24222	24222	24222	24222	24222	24222	24222	24222	24222	24222	24222	24222
276	1000	11	24632	24632	24632	24632	24632	24632	24632	24632	24632	24632	24632	24632	24632	24632	24632	24632
#增加内功攻击
276	200	12	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403	32403
276	400	12	23403	23403	23403	23403	23403	23403	23403	23403	23403	23403	23403	23403	23403	23403	23403	23403
276	600	12	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813	23813
276	800	12	24223	24223	24223	24223	24223	24223	24223	24223	24223	24223	24223	24223	24223	24223	24223	24223
276	1000	12	24633	24633	24633	24633	24633	24633	24633	24633	24633	24633	24633	24633	24633	24633	24633	24633
#增加外功防御
276	200	13	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404	32404
276	400	13	23404	23404	23404	23404	23404	23404	23404	23404	23404	23404	23404	23404	23404	23404	23404	23404
276	600	13	23814	23814	23814	23814	23814	23814	23814	23814	23814	23814	23814	23814	23814	23814	23814	23814
276	800	13	24224	24224	24224	24224	24224	24224	24224	24224	24224	24224	24224	24224	24224	24224	24224	24224
276	1000	13	24634	24634	24634	24634	24634	24634	24634	24634	24634	24634	24634	24634	24634	24634	24634	24634
#增加内功防御
276	200	14	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405	32405
276	400	14	23405	23405	23405	23405	23405	23405	23405	23405	23405	23405	23405	23405	23405	23405	23405	23405
276	600	14	23815	23815	23815	23815	23815	23815	23815	23815	23815	23815	23815	23815	23815	23815	23815	23815
276	800	14	24225	24225	24225	24225	24225	24225	24225	24225	24225	24225	24225	24225	24225	24225	24225	24225
276	1000	14	24635	24635	24635	24635	24635	24635	24635	24635	24635	24635	24635	24635	24635	24635	24635	24635
#回复x%的血
276	200	15	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406	32406
276	400	15	23406	23406	23406	23406	23406	23406	23406	23406	23406	23406	23406	23406	23406	23406	23406	23406
276	600	15	23816	23816	23816	23816	23816	23816	23816	23816	23816	23816	23816	23816	23816	23816	23816	23816
276	800	15	24226	24226	24226	24226	24226	24226	24226	24226	24226	24226	24226	24226	24226	24226	24226	24226
276	1000	15	24636	24636	24636	24636	24636	24636	24636	24636	24636	24636	24636	24636	24636	24636	24636	24636
