INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	FLOAT
10	9	0	527820	15834	9.0	1.0	527820	15834	9.0	1.0	1306832	39204	9.0	1.0	133544	4006	9.0	1.0	200317	6009	9.0	1.0	452064	13561	9.0	1.0	452064	13561	9.0	1.0	511841	15355	9.0	1.0	210345	6310	9.0	1.0	221565	6646	9.0	1.0	175203	5256	9.0	1.0
11	10	0	636937	19108	10.0	1.0	636937	19108	10.0	1.0	1576995	47309	10.0	1.0	161152	4834	10.0	1.0	241729	7251	10.0	1.0	545520	16365	10.0	1.0	545520	16365	10.0	1.0	617654	18529	10.0	1.0	253830	7614	10.0	1.0	267370	8021	10.0	1.0	211423	6342	10.0	1.0
12	11	0	753587	22607	11.0	1.0	753587	22607	11.0	1.0	1865810	55974	11.0	1.0	190666	5719	11.0	1.0	286000	8579	11.0	1.0	645428	19362	11.0	1.0	645428	19362	11.0	1.0	730773	21923	11.0	1.0	300317	9009	11.0	1.0	316337	9490	11.0	1.0	250144	7504	11.0	1.0
13	12	0	877460	26323	12.0	1.0	877460	26323	12.0	1.0	2172506	65175	12.0	1.0	222007	6660	12.0	1.0	333011	9990	12.0	1.0	751521	22545	12.0	1.0	751521	22545	12.0	1.0	850895	25526	12.0	1.0	349682	10490	12.0	1.0	368335	11050	12.0	1.0	291262	8737	12.0	1.0
14	13	0	1008283	30248	13.0	1.0	1008283	30248	13.0	1.0	2496413	74892	13.0	1.0	255107	7653	13.0	1.0	382661	11479	13.0	1.0	863568	25907	13.0	1.0	863568	25907	13.0	1.0	977758	29332	13.0	1.0	401818	12054	13.0	1.0	423252	12697	13.0	1.0	334687	10040	13.0	1.0
15	14	0	1145820	34374	14.0	1.0	1145820	34374	14.0	1.0	2836940	85107	14.0	1.0	289906	8697	14.0	1.0	434859	13045	14.0	1.0	981365	29440	14.0	1.0	981365	29440	14.0	1.0	1111131	33333	14.0	1.0	456628	13698	14.0	1.0	480986	14429	14.0	1.0	380341	11410	14.0	1.0
16	15	0	1289858	38695	15.0	1.0	1289858	38695	15.0	1.0	3193564	95806	15.0	1.0	326349	9790	15.0	1.0	489524	14685	15.0	1.0	1104729	33141	15.0	1.0	1104729	33141	15.0	1.0	1250808	37524	15.0	1.0	514030	15420	15.0	1.0	541449	16243	15.0	1.0	428152	12844	15.0	1.0
17	16	0	1440207	43206	16.0	1.0	1440207	43206	16.0	1.0	3565814	106974	16.0	1.0	364389	10931	16.0	1.0	546584	16397	16.0	1.0	1233499	37004	16.0	1.0	1233499	37004	16.0	1.0	1396605	41898	16.0	1.0	573947	17218	16.0	1.0	604562	18136	16.0	1.0	478059	14341	16.0	1.0
18	17	0	1596695	47900	17.0	1.0	1596695	47900	17.0	1.0	3953263	118597	17.0	1.0	403983	12119	17.0	1.0	605974	18179	17.0	1.0	1367527	41025	17.0	1.0	1367527	41025	17.0	1.0	1548356	46450	17.0	1.0	636310	19089	17.0	1.0	670252	20107	17.0	1.0	530003	15900	17.0	1.0
19	18	0	1759165	52774	18.0	1.0	1759165	52774	18.0	1.0	4355524	130665	18.0	1.0	445090	13352	18.0	1.0	667635	20029	18.0	1.0	1506679	45200	18.0	1.0	1506679	45200	18.0	1.0	1705908	51177	18.0	1.0	701057	21031	18.0	1.0	738453	22153	18.0	1.0	583933	17517	18.0	1.0
20	19	0	1927475	57824	19.0	1.0	1927475	57824	19.0	1.0	4772243	143167	19.0	1.0	487674	14630	19.0	1.0	731511	21945	19.0	1.0	1650831	49524	19.0	1.0	1650831	49524	19.0	1.0	1869122	56073	19.0	1.0	768131	23043	19.0	1.0	809105	24273	19.0	1.0	639802	19194	19.0	1.0
21	20	0	2101491	63044	20.0	1.0	2101491	63044	20.0	1.0	5203091	156092	20.0	1.0	531702	15951	20.0	1.0	797554	23926	20.0	1.0	1799872	53996	20.0	1.0	1799872	53996	20.0	1.0	2037870	61136	20.0	1.0	837480	25124	20.0	1.0	882153	26464	20.0	1.0	697564	20926	20.0	1.0
22	21	0	2281093	68432	21.0	1.0	2281093	68432	21.0	1.0	5647767	169432	21.0	1.0	577144	17314	21.0	1.0	865716	25971	21.0	1.0	1953696	58610	21.0	1.0	1953696	58610	21.0	1.0	2212034	66360	21.0	1.0	909054	27271	21.0	1.0	957545	28726	21.0	1.0	757181	22715	21.0	1.0
23	22	0	2466165	73984	22.0	1.0	2466165	73984	22.0	1.0	6105989	183179	22.0	1.0	623969	18719	22.0	1.0	935954	28078	22.0	1.0	2112206	63366	22.0	1.0	2112206	63366	22.0	1.0	2391504	71745	22.0	1.0	982809	29484	22.0	1.0	1035234	31056	22.0	1.0	818613	24558	22.0	1.0
24	23	0	2656604	79698	23.0	1.0	2656604	79698	23.0	1.0	6577495	197324	23.0	1.0	672152	20164	23.0	1.0	1008229	30246	23.0	1.0	2275311	68259	23.0	1.0	2275311	68259	23.0	1.0	2576177	77285	23.0	1.0	1058702	31761	23.0	1.0	1115175	33455	23.0	1.0	881827	26454	23.0	1.0
25	24	0	2852308	85569	24.0	1.0	2852308	85569	24.0	1.0	7062041	211861	24.0	1.0	721668	21650	24.0	1.0	1082502	32475	24.0	1.0	2442927	73287	24.0	1.0	2442927	73287	24.0	1.0	2765956	82978	24.0	1.0	1136693	34100	24.0	1.0	1197327	35919	24.0	1.0	946789	28403	24.0	1.0
26	25	0	3053187	91595	25.0	1.0	3053187	91595	25.0	1.0	7559397	226781	25.0	1.0	772493	23174	25.0	1.0	1158739	34762	25.0	1.0	2614974	78449	25.0	1.0	2614974	78449	25.0	1.0	2960753	88822	25.0	1.0	1216747	36502	25.0	1.0	1281651	38449	25.0	1.0	1013468	30404	25.0	1.0
27	26	0	3259151	97774	26.0	1.0	3259151	97774	26.0	1.0	8069345	242080	26.0	1.0	824604	24738	26.0	1.0	1236906	37107	26.0	1.0	2791377	83741	26.0	1.0	2791377	83741	26.0	1.0	3160482	94814	26.0	1.0	1298827	38964	26.0	1.0	1368109	41043	26.0	1.0	1081835	32455	26.0	1.0
28	27	0	3470120	104103	27.0	1.0	3470120	104103	27.0	1.0	8591683	257750	27.0	1.0	877982	26339	27.0	1.0	1316973	39509	27.0	1.0	2972066	89162	27.0	1.0	2972066	89162	27.0	1.0	3365064	100951	27.0	1.0	1382902	41487	27.0	1.0	1456669	43700	27.0	1.0	1151864	34555	27.0	1.0
29	28	0	3686014	110580	28.0	1.0	3686014	110580	28.0	1.0	9126217	273786	28.0	1.0	932606	27978	28.0	1.0	1398909	41967	28.0	1.0	3156974	94709	28.0	1.0	3156974	94709	28.0	1.0	3574422	107232	28.0	1.0	1468939	44068	28.0	1.0	1547296	46418	28.0	1.0	1223527	36705	28.0	1.0
30	29	0	3906761	117202	29.0	1.0	3906761	117202	29.0	1.0	9672764	290182	29.0	1.0	988457	29653	29.0	1.0	1482686	44480	29.0	1.0	3346038	100381	29.0	1.0	3346038	100381	29.0	1.0	3788486	113654	29.0	1.0	1556911	46707	29.0	1.0	1639959	49198	29.0	1.0	1296802	38904	29.0	1.0
31	30	0	4132290	123968	30.0	1.0	4132290	123968	30.0	1.0	10231152	306934	30.0	1.0	1045519	31365	30.0	1.0	1568278	47048	30.0	1.0	3539197	106175	30.0	1.0	3539197	106175	30.0	1.0	4007187	120215	30.0	1.0	1646788	49403	30.0	1.0	1734631	52038	30.0	1.0	1371663	41149	30.0	1.0
32	31	0	4368421	131052	31.25	1.0	4368421	131052	31.25	1.0	10815789	324473	31.25	1.0	1105263	33157	31.25	1.0	1657894	49736	31.25	1.0	3741437	112243	31.25	1.0	3741437	112243	31.25	1.0	4236169	127085	31.25	1.0	1740890	52226	31.25	1.0	1833753	55012	31.25	1.0	1450044	43501	31.25	1.0
33	32	0	4604551	138136	32.5	1.0	4604551	138136	32.5	1.0	11400426	342012	32.5	1.0	1165007	34950	32.5	1.0	1747510	52425	32.5	1.0	3943677	118310	32.5	1.0	3943677	118310	32.5	1.0	4465151	133954	32.5	1.0	1834992	55049	32.5	1.0	1932874	57986	32.5	1.0	1528425	45852	32.5	1.0
34	33	0	4840682	145220	33.75	1.0	4840682	145220	33.75	1.0	11985064	359551	33.75	1.0	1224751	36742	33.75	1.0	1837126	55113	33.75	1.0	4145917	124377	33.75	1.0	4145917	124377	33.75	1.0	4694134	140824	33.75	1.0	1929094	57872	33.75	1.0	2031996	60959	33.75	1.0	1606806	48204	33.75	1.0
35	34	0	5076813	152304	35.0	1.0	5076813	152304	35.0	1.0	12569701	377091	35.0	1.0	1284495	38534	35.0	1.0	1926742	57802	35.0	1.0	4348157	130444	35.0	1.0	4348157	130444	35.0	1.0	4923116	147693	35.0	1.0	2023196	60695	35.0	1.0	2131118	63933	35.0	1.0	1685186	50555	35.0	1.0
36	35	0	5312944	159388	36.25	1.0	5312944	159388	36.25	1.0	13154338	394630	36.25	1.0	1344238	40327	36.25	1.0	2016358	60490	36.25	1.0	4550397	136511	36.25	1.0	4550397	136511	36.25	1.0	5152098	154562	36.25	1.0	2117298	63518	36.25	1.0	2230240	66907	36.25	1.0	1763567	52907	36.25	1.0
37	36	0	5549075	166472	37.5	1.0	5549075	166472	37.5	1.0	13738975	412169	37.5	1.0	1403982	42119	37.5	1.0	2105974	63179	37.5	1.0	4752637	142579	37.5	1.0	4752637	142579	37.5	1.0	5381080	161432	37.5	1.0	2211401	66342	37.5	1.0	2329362	69880	37.5	1.0	1841948	55258	37.5	1.0
38	37	0	5785206	173556	38.75	1.0	5785206	173556	38.75	1.0	14323613	429708	38.75	1.0	1463726	43911	38.75	1.0	2195590	65867	38.75	1.0	4954877	148646	38.75	1.0	4954877	148646	38.75	1.0	5610062	168301	38.75	1.0	2305503	69165	38.75	1.0	2428483	72854	38.75	1.0	1920329	57609	38.75	1.0
39	38	0	6021337	180640	40.0	1.0	6021337	180640	40.0	1.0	14908250	447247	40.0	1.0	1523470	45704	40.0	1.0	2285206	68556	40.0	1.0	5157116	154713	40.0	1.0	5157116	154713	40.0	1.0	5839044	175171	40.0	1.0	2399605	71988	40.0	1.0	2527605	75828	40.0	1.0	1998709	59961	40.0	1.0
40	39	0	6257467	187724	41.25	1.0	6257467	187724	41.25	1.0	15492887	464786	41.25	1.0	1583214	47496	41.25	1.0	2374822	71244	41.25	1.0	5359356	160780	41.25	1.0	5359356	160780	41.25	1.0	6068026	182040	41.25	1.0	2493707	74811	41.25	1.0	2626727	78801	41.25	1.0	2077090	62312	41.25	1.0
41	40	0	6493598	194807	42.5	1.0	6493598	194807	42.5	1.0	16077524	482325	42.5	1.0	1642958	49288	42.5	1.0	2464438	73933	42.5	1.0	5561596	166847	42.5	1.0	5561596	166847	42.5	1.0	6297009	188910	42.5	1.0	2587809	77634	42.5	1.0	2725849	81775	42.5	1.0	2155471	64664	42.5	1.0
42	41	0	6729729	201891	43.75	1.0	6729729	201891	43.75	1.0	16662162	499864	43.75	1.0	1702702	51081	43.75	1.0	2554054	76621	43.75	1.0	5763836	172915	43.75	1.0	5763836	172915	43.75	1.0	6525991	195779	43.75	1.0	2681912	80457	43.75	1.0	2824970	84749	43.75	1.0	2233852	67015	43.75	1.0
43	42	0	6965860	208975	45.0	1.0	6965860	208975	45.0	1.0	17246799	517403	45.0	1.0	1762446	52873	45.0	1.0	2643669	79310	45.0	1.0	5966076	178982	45.0	1.0	5966076	178982	45.0	1.0	6754973	202649	45.0	1.0	2776014	83280	45.0	1.0	2924092	87722	45.0	1.0	2312233	69366	45.0	1.0
44	43	0	7201991	216059	46.25	1.0	7201991	216059	46.25	1.0	17831436	534943	46.25	1.0	1822190	54665	46.25	1.0	2733285	81998	46.25	1.0	6168316	185049	46.25	1.0	6168316	185049	46.25	1.0	6983955	209518	46.25	1.0	2870116	86103	46.25	1.0	3023214	90696	46.25	1.0	2390613	71718	46.25	1.0
45	44	0	7438122	223143	47.5	1.0	7438122	223143	47.5	1.0	18416073	552482	47.5	1.0	1881934	56458	47.5	1.0	2822901	84687	47.5	1.0	6370556	191116	47.5	1.0	6370556	191116	47.5	1.0	7212937	216388	47.5	1.0	2964218	88926	47.5	1.0	3122336	93670	47.5	1.0	2468994	74069	47.5	1.0
46	45	0	7674253	230227	48.75	1.0	7674253	230227	48.75	1.0	19000711	570021	48.75	1.0	1941678	58250	48.75	1.0	2912517	87375	48.75	1.0	6572796	197183	48.75	1.0	6572796	197183	48.75	1.0	7441919	223257	48.75	1.0	3058320	91749	48.75	1.0	3221458	96643	48.75	1.0	2547375	76421	48.75	1.0
47	46	0	7910384	237311	50.0	1.0	7910384	237311	50.0	1.0	19585348	587560	50.0	1.0	2001422	60042	50.0	1.0	3002133	90064	50.0	1.0	6775035	203251	50.0	1.0	6775035	203251	50.0	1.0	7670901	230127	50.0	1.0	3152422	94572	50.0	1.0	3320579	99617	50.0	1.0	2625756	78772	50.0	1.0
48	47	0	8146514	244395	51.25	1.0	8146514	244395	51.25	1.0	20169985	605099	51.25	1.0	2061166	61834	51.25	1.0	3091749	92752	51.25	1.0	6977275	209318	51.25	1.0	6977275	209318	51.25	1.0	7899884	236996	51.25	1.0	3246525	97395	51.25	1.0	3419701	102591	51.25	1.0	2704136	81124	51.25	1.0
49	48	0	8382645	251479	52.5	1.0	8382645	251479	52.5	1.0	20754623	622638	52.5	1.0	2120910	63627	52.5	1.0	3181365	95440	52.5	1.0	7179515	215385	52.5	1.0	7179515	215385	52.5	1.0	8128866	243865	52.5	1.0	3340627	100218	52.5	1.0	3518823	105564	52.5	1.0	2782517	83475	52.5	1.0
50	49	0	8618776	258563	53.75	1.0	8618776	258563	53.75	1.0	21339260	640177	53.75	1.0	2180654	65419	53.75	1.0	3270981	98129	53.75	1.0	7381755	221452	53.75	1.0	7381755	221452	53.75	1.0	8357848	250735	53.75	1.0	3434729	103041	53.75	1.0	3617945	108538	53.75	1.0	2860898	85826	53.75	1.0
51	50	0	8854907	265647	55.0	1.0	8854907	265647	55.0	1.0	21923897	657716	55.0	1.0	2240398	67211	55.0	1.0	3360597	100817	55.0	1.0	7583995	227519	55.0	1.0	7583995	227519	55.0	1.0	8586830	257604	55.0	1.0	3528831	105864	55.0	1.0	3717067	111512	55.0	1.0	2939279	88178	55.0	1.0
52	51	0	9091038	272731	56.25	1.0	9091038	272731	56.25	1.0	22508534	675256	56.25	1.0	2300142	69004	56.25	1.0	3450213	103506	56.25	1.0	7786235	233587	56.25	1.0	7786235	233587	56.25	1.0	8815812	264474	56.25	1.0	3622933	108688	56.25	1.0	3816188	114485	56.25	1.0	3017660	90529	56.25	1.0
53	52	0	9327169	279815	57.5	1.0	9327169	279815	57.5	1.0	23093172	692795	57.5	1.0	2359886	70796	57.5	1.0	3539829	106194	57.5	1.0	7988475	239654	57.5	1.0	7988475	239654	57.5	1.0	9044794	271343	57.5	1.0	3717036	111511	57.5	1.0	3915310	117459	57.5	1.0	3096040	92881	57.5	1.0
54	53	0	9563300	286899	58.75	1.0	9563300	286899	58.75	1.0	23677809	710334	58.75	1.0	2419630	72588	58.75	1.0	3629445	108883	58.75	1.0	8190715	245721	58.75	1.0	8190715	245721	58.75	1.0	9273776	278213	58.75	1.0	3811138	114334	58.75	1.0	4014432	120432	58.75	1.0	3174421	95232	58.75	1.0
55	54	0	9799431	293982	60.0	1.0	9799431	293982	60.0	1.0	24262446	727873	60.0	1.0	2479374	74381	60.0	1.0	3719061	111571	60.0	1.0	8392954	251788	60.0	1.0	8392954	251788	60.0	1.0	9502759	285082	60.0	1.0	3905240	117157	60.0	1.0	4113554	123406	60.0	1.0	3252802	97584	60.0	1.0
56	55	0	10035561	301066	61.25	1.0	10035561	301066	61.25	1.0	24847083	745412	61.25	1.0	2539118	76173	61.25	1.0	3808677	114260	61.25	1.0	8595194	257855	61.25	1.0	8595194	257855	61.25	1.0	9731741	291952	61.25	1.0	3999342	119980	61.25	1.0	4212675	126380	61.25	1.0	3331183	99935	61.25	1.0
57	56	0	10271692	308150	62.5	1.0	10271692	308150	62.5	1.0	25431721	762951	62.5	1.0	2598862	77965	62.5	1.0	3898293	116948	62.5	1.0	8797434	263923	62.5	1.0	8797434	263923	62.5	1.0	9960723	298821	62.5	1.0	4093444	122803	62.5	1.0	4311797	129353	62.5	1.0	3409563	102286	62.5	1.0
58	57	0	10507823	315234	63.75	1.0	10507823	315234	63.75	1.0	26016358	780490	63.75	1.0	2658605	79758	63.75	1.0	3987908	119637	63.75	1.0	8999674	269990	63.75	1.0	8999674	269990	63.75	1.0	10189705	305691	63.75	1.0	4187546	125626	63.75	1.0	4410919	132327	63.75	1.0	3487944	104638	63.75	1.0
59	58	0	10743954	322318	65.0	1.0	10743954	322318	65.0	1.0	26600995	798029	65.0	1.0	2718349	81550	65.0	1.0	4077524	122325	65.0	1.0	9201914	276057	65.0	1.0	9201914	276057	65.0	1.0	10418687	312560	65.0	1.0	4281649	128449	65.0	1.0	4510041	135301	65.0	1.0	3566325	106989	65.0	1.0
60	59	0	10980085	329402	66.25	1.0	10980085	329402	66.25	1.0	27185633	815568	66.25	1.0	2778093	83342	66.25	1.0	4167140	125014	66.25	1.0	9404154	282124	66.25	1.0	9404154	282124	66.25	1.0	10647669	319430	66.25	1.0	4375751	131272	66.25	1.0	4609163	138274	66.25	1.0	3644706	109341	66.25	1.0
61	60	0	11216216	336486	67.5	1.0	11216216	336486	67.5	1.0	27770270	833108	67.5	1.0	2837837	85135	67.5	1.0	4256756	127702	67.5	1.0	9606394	288191	67.5	1.0	9606394	288191	67.5	1.0	10876652	326299	67.5	1.0	4469853	134095	67.5	1.0	4708284	141248	67.5	1.0	3723087	111692	67.5	1.0
62	61	0	11570412	231408	69.0	1.0	11570412	231408	69.0	1.0	28647226	572944	69.0	1.0	2927453	58549	69.0	1.0	4391180	87823	69.0	1.0	9909754	198195	69.0	1.0	9909754	198195	69.0	1.0	11220125	224402	69.0	1.0	4611006	92220	69.0	1.0	4856967	97139	69.0	1.0	3840658	76813	69.0	1.0
63	62	0	11924608	238492	70.5	1.0	11924608	238492	70.5	1.0	29524182	590483	70.5	1.0	3017069	60341	70.5	1.0	4525604	90512	70.5	1.0	10213113	204262	70.5	1.0	10213113	204262	70.5	1.0	11563598	231271	70.5	1.0	4752159	95043	70.5	1.0	5005650	100113	70.5	1.0	3958229	79164	70.5	1.0
64	63	0	12278805	245576	72.0	1.0	12278805	245576	72.0	1.0	30401137	608022	72.0	1.0	3106685	62133	72.0	1.0	4660028	93200	72.0	1.0	10516473	210329	72.0	1.0	10516473	210329	72.0	1.0	11907071	238141	72.0	1.0	4893313	97866	72.0	1.0	5154332	103086	72.0	1.0	4075800	81516	72.0	1.0
65	64	0	12633001	252660	73.5	1.0	12633001	252660	73.5	1.0	31278093	625561	73.5	1.0	3196301	63926	73.5	1.0	4794452	95889	73.5	1.0	10819833	216396	73.5	1.0	10819833	216396	73.5	1.0	12250544	245010	73.5	1.0	5034466	100689	73.5	1.0	5303015	106060	73.5	1.0	4193371	83867	73.5	1.0
66	65	0	12987197	259743	75.0	1.0	12987197	259743	75.0	1.0	32155049	643100	75.0	1.0	3285917	65718	75.0	1.0	4928876	98577	75.0	1.0	11123193	222463	75.0	1.0	11123193	222463	75.0	1.0	12594018	251880	75.0	1.0	5175619	103512	75.0	1.0	5451698	109033	75.0	1.0	4310942	86218	75.0	1.0
67	66	0	13341394	266827	76.5	1.0	13341394	266827	76.5	1.0	33032005	660640	76.5	1.0	3375533	67510	76.5	1.0	5063300	101266	76.5	1.0	11426553	228531	76.5	1.0	11426553	228531	76.5	1.0	12937491	258749	76.5	1.0	5316773	106335	76.5	1.0	5600380	112007	76.5	1.0	4428514	88570	76.5	1.0
68	67	0	13695590	273911	78.0	1.0	13695590	273911	78.0	1.0	33908961	678179	78.0	1.0	3465149	69302	78.0	1.0	5197724	103954	78.0	1.0	11729912	234598	78.0	1.0	11729912	234598	78.0	1.0	13280964	265619	78.0	1.0	5457926	109158	78.0	1.0	5749063	114981	78.0	1.0	4546085	90921	78.0	1.0
69	68	0	14049786	280995	79.5	1.0	14049786	280995	79.5	1.0	34785917	695718	79.5	1.0	3554765	71095	79.5	1.0	5332147	106642	79.5	1.0	12033272	240665	79.5	1.0	12033272	240665	79.5	1.0	13624437	272488	79.5	1.0	5599079	111981	79.5	1.0	5897746	117954	79.5	1.0	4663656	93273	79.5	1.0
70	69	0	14403982	288079	81.0	1.0	14403982	288079	81.0	1.0	35662873	713257	81.0	1.0	3644381	72887	81.0	1.0	5466571	109331	81.0	1.0	12336632	246732	81.0	1.0	12336632	246732	81.0	1.0	13967911	279358	81.0	1.0	5740232	114804	81.0	1.0	6046429	120928	81.0	1.0	4781227	95624	81.0	1.0
71	70	0	14758179	295163	82.5	1.0	14758179	295163	82.5	1.0	36539829	730796	82.5	1.0	3733997	74679	82.5	1.0	5600995	112019	82.5	1.0	12639992	252799	82.5	1.0	12639992	252799	82.5	1.0	14311384	286227	82.5	1.0	5881386	117627	82.5	1.0	6195111	123902	82.5	1.0	4898798	97975	82.5	1.0
72	71	0	15112375	302247	84.0	1.0	15112375	302247	84.0	1.0	37416785	748335	84.0	1.0	3823613	76472	84.0	1.0	5735419	114708	84.0	1.0	12943352	258867	84.0	1.0	12943352	258867	84.0	1.0	14654857	293097	84.0	1.0	6022539	120450	84.0	1.0	6343794	126875	84.0	1.0	5016369	100327	84.0	1.0
73	72	0	15466571	309331	85.5	1.0	15466571	309331	85.5	1.0	38293741	765874	85.5	1.0	3913229	78264	85.5	1.0	5869843	117396	85.5	1.0	13246712	264934	85.5	1.0	13246712	264934	85.5	1.0	14998330	299966	85.5	1.0	6163692	123273	85.5	1.0	6492477	129849	85.5	1.0	5133941	102678	85.5	1.0
74	73	0	15820768	316415	87.0	1.0	15820768	316415	87.0	1.0	39170697	783413	87.0	1.0	4002844	80056	87.0	1.0	6004267	120085	87.0	1.0	13550071	271001	87.0	1.0	13550071	271001	87.0	1.0	15341803	306836	87.0	1.0	6304845	126096	87.0	1.0	6641159	132823	87.0	1.0	5251512	105030	87.0	1.0
75	74	0	16174964	323499	88.5	1.0	16174964	323499	88.5	1.0	40047652	800953	88.5	1.0	4092460	81849	88.5	1.0	6138691	122773	88.5	1.0	13853431	277068	88.5	1.0	13853431	277068	88.5	1.0	15685277	313705	88.5	1.0	6445999	128919	88.5	1.0	6789842	135796	88.5	1.0	5369083	107381	88.5	1.0
76	75	0	16529160	330583	90.0	1.0	16529160	330583	90.0	1.0	40924608	818492	90.0	1.0	4182076	83641	90.0	1.0	6273115	125462	90.0	1.0	14156791	283135	90.0	1.0	14156791	283135	90.0	1.0	16028750	320575	90.0	1.0	6587152	131743	90.0	1.0	6938525	138770	90.0	1.0	5486654	109733	90.0	1.0
77	76	0	16883357	337667	91.5	1.0	16883357	337667	91.5	1.0	41801564	836031	91.5	1.0	4271692	85433	91.5	1.0	6407539	128150	91.5	1.0	14460151	289203	91.5	1.0	14460151	289203	91.5	1.0	16372223	327444	91.5	1.0	6728305	134566	91.5	1.0	7087207	141744	91.5	1.0	5604225	112084	91.5	1.0
78	77	0	17237553	344751	93.0	1.0	17237553	344751	93.0	1.0	42678520	853570	93.0	1.0	4361308	87226	93.0	1.0	6541963	130839	93.0	1.0	14763511	295270	93.0	1.0	14763511	295270	93.0	1.0	16715696	334313	93.0	1.0	6869458	137389	93.0	1.0	7235890	144717	93.0	1.0	5721797	114435	93.0	1.0
79	78	0	17591749	351834	94.5	1.0	17591749	351834	94.5	1.0	43555476	871109	94.5	1.0	4450924	89018	94.5	1.0	6676386	133527	94.5	1.0	15066870	301337	94.5	1.0	15066870	301337	94.5	1.0	17059170	341183	94.5	1.0	7010612	140212	94.5	1.0	7384573	147691	94.5	1.0	5839368	116787	94.5	1.0
80	79	0	17945945	358918	96.0	1.0	17945945	358918	96.0	1.0	44432432	888648	96.0	1.0	4540540	90810	96.0	1.0	6810810	136216	96.0	1.0	15370230	307404	96.0	1.0	15370230	307404	96.0	1.0	17402643	348052	96.0	1.0	7151765	143035	96.0	1.0	7533255	150665	96.0	1.0	5956939	119138	96.0	1.0
