INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
77	0	78	300	24	77	195	195	195	195	195	195
78	0	79	300	23	78	195	195	195	195	195	195
79	0	80	300	22	79	195	195	195	195	195	195
80	0	81	300	19	80	195	195	195	195	195	195
81	0	82	300	18	81	195	195	195	195	195	195
82	0	83	300	18	82	195	195	195	195	195	195
83	0	84	300	16	83	195	195	195	195	195	195
84	0	85	300	16	84	195	195	195	195	195	195
85	0	86	300	15	85	195	195	195	195	195	195
86	0	87	300	14	86	195	195	195	195	195	195
87	0	88	300	14	87	195	195	195	195	195	195
88	0	89	300	15	88	195	195	195	195	195	195
89	0	90	300	15	89	195	195	195	195	195	195
90	0	91	300	15	90	195	195	195	195	195	195
91	0	92	300	14	91	195	195	195	195	195	195
92	0	93	300	14	92	195	195	195	195	195	195
93	0	94	300	14	93	195	195	195	195	195	195
94	0	95	300	14	94	195	195	195	195	195	195
95	0	96	300	14	95	195	195	195	195	195	195
96	0	97	300	13	96	195	195	195	195	195	195
97	0	98	300	13	97	195	195	195	195	195	195
98	0	99	300	13	98	195	195	195	195	195	195
99	0	100	0	0	0	195	195	195	195	195	195
100	1	1	100	3500	0	20	20	20	20	20	20
101	1	2	115	2000	1	30	30	30	30	30	30
102	1	3	132	1000	1	42	42	42	42	42	42
103	1	4	151	500	1	60	60	60	60	60	60
104	1	5	173	500	1	88	88	88	88	88	88
105	1	6	199	200	5	140	140	140	140	140	140
106	1	7	228	200	5	186	186	186	186	186	186
107	1	8	261	200	7	270	270	270	270	270	270
108	1	9	300	200	8	390	390	390	390	390	390
109	1	10	173	1000	9	390	390	390	390	390	390
110	1	11	199	1000	10	390	390	390	390	390	390
111	1	12	228	1000	11	390	390	390	390	390	390
112	1	13	261	1000	12	390	390	390	390	390	390
113	1	14	300	1000	13	390	390	390	390	390	390
114	1	15	300	1000	14	390	390	390	390	390	390
115	1	16	300	1000	15	390	390	390	390	390	390
116	1	17	300	1000	16	390	390	390	390	390	390
117	1	18	300	1000	17	390	390	390	390	390	390
118	1	19	300	1000	18	390	390	390	390	390	390
119	1	20	300	1000	19	390	390	390	390	390	390
120	1	21	300	2666	20	390	390	390	390	390	390
121	1	22	300	1000	21	390	390	390	390	390	390
122	1	23	300	1000	22	390	390	390	390	390	390
123	1	24	300	333	23	390	390	390	390	390	390
124	1	25	300	857	24	390	390	390	390	390	390
125	1	26	300	500	25	390	390	390	390	390	390
126	1	27	300	222	26	390	390	390	390	390	390
127	1	28	300	100	27	390	390	390	390	390	390
128	1	29	300	818	28	390	390	390	390	390	390
129	1	30	300	666	29	390	390	390	390	390	390
130	1	31	300	250	30	390	390	390	390	390	390
131	1	32	300	111	31	390	390	390	390	390	390
132	1	33	300	309	32	390	390	390	390	390	390
133	1	34	300	314	33	390	390	390	390	390	390
134	1	35	300	188	34	390	390	390	390	390	390
135	1	36	300	200	35	390	390	390	390	390	390
136	1	37	300	134	36	390	390	390	390	390	390
137	1	38	300	84	37	390	390	390	390	390	390
138	1	39	300	44	38	390	390	390	390	390	390
139	1	40	300	112	39	390	390	390	390	390	390
140	1	41	300	127	40	390	390	390	390	390	390
141	1	42	300	112	41	390	390	390	390	390	390
142	1	43	300	100	42	390	390	390	390	390	390
143	1	44	300	88	43	390	390	390	390	390	390
144	1	45	300	78	44	390	390	390	390	390	390
145	1	46	300	169	45	390	390	390	390	390	390
146	1	47	300	161	46	390	390	390	390	390	390
147	1	48	300	153	47	390	390	390	390	390	390
148	1	49	300	147	48	390	390	390	390	390	390
149	1	50	300	87	49	390	390	390	390	390	390
150	1	51	300	87	50	390	390	390	390	390	390
151	1	52	300	87	51	390	390	390	390	390	390
152	1	53	300	87	52	390	390	390	390	390	390
153	1	54	300	87	53	390	390	390	390	390	390
154	1	55	300	87	54	390	390	390	390	390	390
155	1	56	300	87	55	390	390	390	390	390	390
156	1	57	300	87	56	390	390	390	390	390	390
157	1	58	300	87	57	390	390	390	390	390	390
158	1	59	300	87	58	390	390	390	390	390	390
159	1	60	300	37	59	390	390	390	390	390	390
160	1	61	300	37	60	390	390	390	390	390	390
161	1	62	300	37	61	390	390	390	390	390	390
162	1	63	300	37	62	390	390	390	390	390	390
163	1	64	300	37	63	390	390	390	390	390	390
164	1	65	300	37	64	390	390	390	390	390	390
165	1	66	300	37	65	390	390	390	390	390	390
166	1	67	300	37	66	390	390	390	390	390	390
167	1	68	300	37	67	390	390	390	390	390	390
168	1	69	300	45	68	390	390	390	390	390	390
169	1	70	300	42	69	390	390	390	390	390	390
170	1	71	300	37	70	390	390	390	390	390	390
171	1	72	300	37	71	390	390	390	390	390	390
172	1	73	300	36	72	390	390	390	390	390	390
173	1	74	300	35	73	390	390	390	390	390	390
174	1	75	300	34	74	390	390	390	390	390	390
175	1	76	300	34	75	390	390	390	390	390	390
176	1	77	300	33	76	390	390	390	390	390	390
177	1	78	300	32	77	390	390	390	390	390	390
178	1	79	300	32	78	390	390	390	390	390	390
179	1	80	300	31	79	390	390	390	390	390	390
180	1	81	300	24	80	390	390	390	390	390	390
181	1	82	300	23	81	390	390	390	390	390	390
182	1	83	300	22	82	390	390	390	390	390	390
183	1	84	300	21	83	390	390	390	390	390	390
184	1	85	300	21	84	390	390	390	390	390	390
185	1	86	300	20	85	390	390	390	390	390	390
186	1	87	300	19	86	390	390	390	390	390	390
187	1	88	300	19	87	390	390	390	390	390	390
188	1	89	300	18	88	390	390	390	390	390	390
189	1	90	300	18	89	390	390	390	390	390	390
190	1	91	300	15	90	390	390	390	390	390	390
191	1	92	300	14	91	390	390	390	390	390	390
192	1	93	300	14	92	390	390	390	390	390	390
193	1	94	300	14	93	390	390	390	390	390	390
194	1	95	300	14	94	390	390	390	390	390	390
195	1	96	300	14	95	390	390	390	390	390	390
196	1	97	300	13	96	390	390	390	390	390	390
197	1	98	300	13	97	390	390	390	390	390	390
198	1	99	300	13	98	390	390	390	390	390	390
199	1	100	0	0	0	390	390	390	390	390	390
200	2	1	100	3500	0	10	10	10	10	10	10
201	2	2	115	2000	1	15	15	15	15	15	15
202	2	3	132	1000	1	21	21	21	21	21	21
203	2	4	151	500	1	30	30	30	30	30	30
204	2	5	173	500	1	44	44	44	44	44	44
205	2	6	199	200	5	70	70	70	70	70	70
206	2	7	228	200	5	93	93	93	93	93	93
207	2	8	261	200	7	135	135	135	135	135	135
208	2	9	300	200	8	195	195	195	195	195	195
209	2	10	300	1000	9	195	195	195	195	195	195
210	2	11	300	1000	10	195	195	195	195	195	195
211	2	12	300	1000	11	195	195	195	195	195	195
212	2	13	300	1000	12	195	195	195	195	195	195
213	2	14	300	1000	13	195	195	195	195	195	195
214	2	15	300	1000	14	195	195	195	195	195	195
215	2	16	300	1000	15	195	195	195	195	195	195
216	2	17	300	1000	16	195	195	195	195	195	195
217	2	18	300	1000	17	195	195	195	195	195	195
218	2	19	300	1000	18	195	195	195	195	195	195
219	2	20	300	1000	19	195	195	195	195	195	195
220	2	21	300	2666	20	195	195	195	195	195	195
221	2	22	300	1000	21	195	195	195	195	195	195
222	2	23	300	1000	22	195	195	195	195	195	195
223	2	24	300	333	23	195	195	195	195	195	195
224	2	25	300	857	24	195	195	195	195	195	195
225	2	26	300	500	25	195	195	195	195	195	195
226	2	27	300	222	26	195	195	195	195	195	195
227	2	28	300	100	27	195	195	195	195	195	195
228	2	29	300	818	28	195	195	195	195	195	195
229	2	30	300	666	29	195	195	195	195	195	195
230	2	31	300	250	30	195	195	195	195	195	195
231	2	32	300	111	31	195	195	195	195	195	195
232	2	33	300	309	32	195	195	195	195	195	195
233	2	34	300	314	33	195	195	195	195	195	195
234	2	35	300	188	34	195	195	195	195	195	195
235	2	36	300	200	35	195	195	195	195	195	195
236	2	37	300	134	36	195	195	195	195	195	195
237	2	38	300	84	37	195	195	195	195	195	195
238	2	39	300	44	38	195	195	195	195	195	195
239	2	40	300	112	39	195	195	195	195	195	195
240	2	41	300	127	40	195	195	195	195	195	195
241	2	42	300	112	41	195	195	195	195	195	195
242	2	43	300	100	42	195	195	195	195	195	195
243	2	44	300	88	43	195	195	195	195	195	195
244	2	45	300	78	44	195	195	195	195	195	195
245	2	46	300	169	45	195	195	195	195	195	195
246	2	47	300	161	46	195	195	195	195	195	195
247	2	48	300	153	47	195	195	195	195	195	195
248	2	49	300	147	48	195	195	195	195	195	195
249	2	50	300	87	49	195	195	195	195	195	195
250	2	51	300	87	50	195	195	195	195	195	195
251	2	52	300	87	51	195	195	195	195	195	195
252	2	53	300	87	52	195	195	195	195	195	195
253	2	54	300	87	53	195	195	195	195	195	195
254	2	55	300	87	54	195	195	195	195	195	195
255	2	56	300	87	55	195	195	195	195	195	195
256	2	57	300	87	56	195	195	195	195	195	195
257	2	58	300	87	57	195	195	195	195	195	195
258	2	59	300	87	58	195	195	195	195	195	195
259	2	60	300	37	59	195	195	195	195	195	195
260	2	61	300	37	60	195	195	195	195	195	195
261	2	62	300	37	61	195	195	195	195	195	195
262	2	63	300	37	62	195	195	195	195	195	195
263	2	64	300	37	63	195	195	195	195	195	195
264	2	65	300	37	64	195	195	195	195	195	195
265	2	66	300	37	65	195	195	195	195	195	195
266	2	67	300	37	66	195	195	195	195	195	195
267	2	68	300	37	67	195	195	195	195	195	195
268	2	69	300	45	68	195	195	195	195	195	195
269	2	70	300	42	69	195	195	195	195	195	195
270	2	71	300	37	70	195	195	195	195	195	195
271	2	72	300	37	71	195	195	195	195	195	195
272	2	73	300	36	72	195	195	195	195	195	195
273	2	74	300	35	73	195	195	195	195	195	195
274	2	75	300	34	74	195	195	195	195	195	195
275	2	76	300	34	75	195	195	195	195	195	195
276	2	77	300	33	76	195	195	195	195	195	195
277	2	78	300	32	77	195	195	195	195	195	195
278	2	79	300	32	78	195	195	195	195	195	195
279	2	80	300	31	79	195	195	195	195	195	195
280	2	81	300	24	80	195	195	195	195	195	195
281	2	82	300	23	81	195	195	195	195	195	195
282	2	83	300	22	82	195	195	195	195	195	195
283	2	84	300	21	83	195	195	195	195	195	195
284	2	85	300	21	84	195	195	195	195	195	195
285	2	86	300	20	85	195	195	195	195	195	195
286	2	87	300	19	86	195	195	195	195	195	195
287	2	88	300	19	87	195	195	195	195	195	195
288	2	89	300	18	88	195	195	195	195	195	195
289	2	90	300	18	89	195	195	195	195	195	195
290	2	91	300	15	90	195	195	195	195	195	195
291	2	92	300	14	91	195	195	195	195	195	195
292	2	93	300	14	92	195	195	195	195	195	195
293	2	94	300	14	93	195	195	195	195	195	195
294	2	95	300	14	94	195	195	195	195	195	195
295	2	96	300	14	95	195	195	195	195	195	195
296	2	97	300	13	96	195	195	195	195	195	195
297	2	98	300	13	97	195	195	195	195	195	195
298	2	99	300	13	98	195	195	195	195	195	195
299	2	100	0	0	0	195	195	195	195	195	195
300	3	1	100	3500	0	20	20	20	20	20	20
301	3	2	115	2000	1	30	30	30	30	30	30
302	3	3	132	1000	1	42	42	42	42	42	42
303	3	4	151	500	1	60	60	60	60	60	60
304	3	5	173	500	1	88	88	88	88	88	88
305	3	6	199	200	5	140	140	140	140	140	140
306	3	7	228	200	5	186	186	186	186	186	186
307	3	8	261	200	7	270	270	270	270	270	270
308	3	9	300	200	8	390	390	390	390	390	390
309	3	10	173	1000	9	390	390	390	390	390	390
310	3	11	199	1000	10	390	390	390	390	390	390
311	3	12	228	1000	11	390	390	390	390	390	390
312	3	13	261	1000	12	390	390	390	390	390	390
313	3	14	300	1000	13	390	390	390	390	390	390
314	3	15	300	1000	14	390	390	390	390	390	390
315	3	16	300	1000	15	390	390	390	390	390	390
316	3	17	300	1000	16	390	390	390	390	390	390
317	3	18	300	1000	17	390	390	390	390	390	390
318	3	19	300	1000	18	390	390	390	390	390	390
319	3	20	300	1000	19	390	390	390	390	390	390
320	3	21	300	2666	20	390	390	390	390	390	390
321	3	22	300	1000	21	390	390	390	390	390	390
322	3	23	300	1000	22	390	390	390	390	390	390
323	3	24	300	333	23	390	390	390	390	390	390
324	3	25	300	857	24	390	390	390	390	390	390
325	3	26	300	500	25	390	390	390	390	390	390
326	3	27	300	222	26	390	390	390	390	390	390
327	3	28	300	100	27	390	390	390	390	390	390
328	3	29	300	818	28	390	390	390	390	390	390
329	3	30	300	666	29	390	390	390	390	390	390
330	3	31	300	250	30	390	390	390	390	390	390
331	3	32	300	111	31	390	390	390	390	390	390
332	3	33	300	309	32	390	390	390	390	390	390
333	3	34	300	314	33	390	390	390	390	390	390
334	3	35	300	188	34	390	390	390	390	390	390
335	3	36	300	200	35	390	390	390	390	390	390
336	3	37	300	134	36	390	390	390	390	390	390
337	3	38	300	84	37	390	390	390	390	390	390
338	3	39	300	44	38	390	390	390	390	390	390
339	3	40	300	112	39	390	390	390	390	390	390
340	3	41	300	127	40	390	390	390	390	390	390
341	3	42	300	112	41	390	390	390	390	390	390
342	3	43	300	100	42	390	390	390	390	390	390
343	3	44	300	88	43	390	390	390	390	390	390
344	3	45	300	78	44	390	390	390	390	390	390
345	3	46	300	169	45	390	390	390	390	390	390
346	3	47	300	161	46	390	390	390	390	390	390
347	3	48	300	153	47	390	390	390	390	390	390
348	3	49	300	147	48	390	390	390	390	390	390
349	3	50	300	87	49	390	390	390	390	390	390
350	3	51	300	87	50	390	390	390	390	390	390
351	3	52	300	87	51	390	390	390	390	390	390
352	3	53	300	87	52	390	390	390	390	390	390
353	3	54	300	87	53	390	390	390	390	390	390
354	3	55	300	87	54	390	390	390	390	390	390
355	3	56	300	87	55	390	390	390	390	390	390
356	3	57	300	87	56	390	390	390	390	390	390
357	3	58	300	87	57	390	390	390	390	390	390
358	3	59	300	87	58	390	390	390	390	390	390
359	3	60	300	37	59	390	390	390	390	390	390
360	3	61	300	37	60	390	390	390	390	390	390
361	3	62	300	37	61	390	390	390	390	390	390
362	3	63	300	37	62	390	390	390	390	390	390
363	3	64	300	37	63	390	390	390	390	390	390
364	3	65	300	37	64	390	390	390	390	390	390
365	3	66	300	37	65	390	390	390	390	390	390
366	3	67	300	37	66	390	390	390	390	390	390
367	3	68	300	37	67	390	390	390	390	390	390
368	3	69	300	45	68	390	390	390	390	390	390
369	3	70	300	42	69	390	390	390	390	390	390
370	3	71	300	37	70	390	390	390	390	390	390
371	3	72	300	37	71	390	390	390	390	390	390
372	3	73	300	36	72	390	390	390	390	390	390
373	3	74	300	35	73	390	390	390	390	390	390
374	3	75	300	34	74	390	390	390	390	390	390
375	3	76	300	34	75	390	390	390	390	390	390
376	3	77	300	33	76	390	390	390	390	390	390
377	3	78	300	32	77	390	390	390	390	390	390
378	3	79	300	32	78	390	390	390	390	390	390
379	3	80	300	31	79	390	390	390	390	390	390
380	3	81	300	24	80	390	390	390	390	390	390
381	3	82	300	23	81	390	390	390	390	390	390
382	3	83	300	22	82	390	390	390	390	390	390
383	3	84	300	21	83	390	390	390	390	390	390
384	3	85	300	21	84	390	390	390	390	390	390
385	3	86	300	20	85	390	390	390	390	390	390
386	3	87	300	19	86	390	390	390	390	390	390
387	3	88	300	19	87	390	390	390	390	390	390
388	3	89	300	18	88	390	390	390	390	390	390
389	3	90	300	18	89	390	390	390	390	390	390
390	3	91	300	15	90	390	390	390	390	390	390
391	3	92	300	14	91	390	390	390	390	390	390
392	3	93	300	14	92	390	390	390	390	390	390
393	3	94	300	14	93	390	390	390	390	390	390
394	3	95	300	14	94	390	390	390	390	390	390
395	3	96	300	14	95	390	390	390	390	390	390
396	3	97	300	13	96	390	390	390	390	390	390
397	3	98	300	13	97	390	390	390	390	390	390
398	3	99	300	13	98	390	390	390	390	390	390
399	3	100	0	0	0	390	390	390	390	390	390
400	4	1	100	3500	0	20	20	20	20	20	20
401	4	2	115	2000	1	30	30	30	30	30	30
402	4	3	132	1000	1	42	42	42	42	42	42
403	4	4	151	500	1	60	60	60	60	60	60
404	4	5	173	500	1	88	88	88	88	88	88
405	4	6	199	200	5	140	140	140	140	140	140
406	4	7	228	200	5	186	186	186	186	186	186
407	4	8	261	200	7	270	270	270	270	270	270
408	4	9	300	200	8	390	390	390	390	390	390
409	4	10	173	1000	9	390	390	390	390	390	390
410	4	11	199	1000	10	390	390	390	390	390	390
411	4	12	228	1000	11	390	390	390	390	390	390
412	4	13	261	1000	12	390	390	390	390	390	390
413	4	14	300	1000	13	390	390	390	390	390	390
414	4	15	300	1000	14	390	390	390	390	390	390
415	4	16	300	1000	15	390	390	390	390	390	390
416	4	17	300	1000	16	390	390	390	390	390	390
417	4	18	300	1000	17	390	390	390	390	390	390
418	4	19	300	1000	18	390	390	390	390	390	390
419	4	20	300	1000	19	390	390	390	390	390	390
420	4	21	300	2666	20	390	390	390	390	390	390
421	4	22	300	1000	21	390	390	390	390	390	390
422	4	23	300	1000	22	390	390	390	390	390	390
423	4	24	300	333	23	390	390	390	390	390	390
424	4	25	300	857	24	390	390	390	390	390	390
425	4	26	300	500	25	390	390	390	390	390	390
426	4	27	300	222	26	390	390	390	390	390	390
427	4	28	300	100	27	390	390	390	390	390	390
428	4	29	300	818	28	390	390	390	390	390	390
429	4	30	300	666	29	390	390	390	390	390	390
430	4	31	300	250	30	390	390	390	390	390	390
431	4	32	300	111	31	390	390	390	390	390	390
432	4	33	300	309	32	390	390	390	390	390	390
433	4	34	300	314	33	390	390	390	390	390	390
434	4	35	300	188	34	390	390	390	390	390	390
435	4	36	300	200	35	390	390	390	390	390	390
436	4	37	300	134	36	390	390	390	390	390	390
437	4	38	300	84	37	390	390	390	390	390	390
438	4	39	300	44	38	390	390	390	390	390	390
439	4	40	300	112	39	390	390	390	390	390	390
440	4	41	300	127	40	390	390	390	390	390	390
441	4	42	300	112	41	390	390	390	390	390	390
442	4	43	300	100	42	390	390	390	390	390	390
443	4	44	300	88	43	390	390	390	390	390	390
444	4	45	300	78	44	390	390	390	390	390	390
445	4	46	300	169	45	390	390	390	390	390	390
446	4	47	300	161	46	390	390	390	390	390	390
447	4	48	300	153	47	390	390	390	390	390	390
448	4	49	300	147	48	390	390	390	390	390	390
449	4	50	300	87	49	390	390	390	390	390	390
450	4	51	300	87	50	390	390	390	390	390	390
451	4	52	300	87	51	390	390	390	390	390	390
452	4	53	300	87	52	390	390	390	390	390	390
453	4	54	300	87	53	390	390	390	390	390	390
454	4	55	300	87	54	390	390	390	390	390	390
455	4	56	300	87	55	390	390	390	390	390	390
456	4	57	300	87	56	390	390	390	390	390	390
457	4	58	300	87	57	390	390	390	390	390	390
458	4	59	300	87	58	390	390	390	390	390	390
459	4	60	300	37	59	390	390	390	390	390	390
460	4	61	300	37	60	390	390	390	390	390	390
461	4	62	300	37	61	390	390	390	390	390	390
462	4	63	300	37	62	390	390	390	390	390	390
463	4	64	300	37	63	390	390	390	390	390	390
464	4	65	300	37	64	390	390	390	390	390	390
465	4	66	300	37	65	390	390	390	390	390	390
466	4	67	300	37	66	390	390	390	390	390	390
467	4	68	300	37	67	390	390	390	390	390	390
468	4	69	300	45	68	390	390	390	390	390	390
469	4	70	300	42	69	390	390	390	390	390	390
470	4	71	300	37	70	390	390	390	390	390	390
471	4	72	300	37	71	390	390	390	390	390	390
472	4	73	300	36	72	390	390	390	390	390	390
473	4	74	300	35	73	390	390	390	390	390	390
474	4	75	300	34	74	390	390	390	390	390	390
475	4	76	300	34	75	390	390	390	390	390	390
476	4	77	300	33	76	390	390	390	390	390	390
477	4	78	300	32	77	390	390	390	390	390	390
478	4	79	300	32	78	390	390	390	390	390	390
479	4	80	300	31	79	390	390	390	390	390	390
480	4	81	300	24	80	390	390	390	390	390	390
481	4	82	300	23	81	390	390	390	390	390	390
482	4	83	300	22	82	390	390	390	390	390	390
483	4	84	300	21	83	390	390	390	390	390	390
484	4	85	300	21	84	390	390	390	390	390	390
485	4	86	300	20	85	390	390	390	390	390	390
486	4	87	300	19	86	390	390	390	390	390	390
487	4	88	300	19	87	390	390	390	390	390	390
488	4	89	300	18	88	390	390	390	390	390	390
489	4	90	300	18	89	390	390	390	390	390	390
490	4	91	300	15	90	390	390	390	390	390	390
491	4	92	300	14	91	390	390	390	390	390	390
492	4	93	300	14	92	390	390	390	390	390	390
493	4	94	300	14	93	390	390	390	390	390	390
494	4	95	300	14	94	390	390	390	390	390	390
495	4	96	300	14	95	390	390	390	390	390	390
496	4	97	300	13	96	390	390	390	390	390	390
497	4	98	300	13	97	390	390	390	390	390	390
498	4	99	300	13	98	390	390	390	390	390	390
499	4	100	0	0	0	390	390	390	390	390	390
500	5	1	100	3500	0	20	20	20	20	20	20
501	5	2	115	2000	1	30	30	30	30	30	30
502	5	3	132	1000	1	42	42	42	42	42	42
503	5	4	151	500	1	60	60	60	60	60	60
504	5	5	173	500	1	88	88	88	88	88	88
505	5	6	199	200	5	140	140	140	140	140	140
506	5	7	228	200	5	186	186	186	186	186	186
507	5	8	261	200	7	270	270	270	270	270	270
508	5	9	300	200	8	390	390	390	390	390	390
509	5	10	173	1000	9	390	390	390	390	390	390
510	5	11	199	1000	10	390	390	390	390	390	390
511	5	12	228	1000	11	390	390	390	390	390	390
512	5	13	261	1000	12	390	390	390	390	390	390
513	5	14	300	1000	13	390	390	390	390	390	390
514	5	15	300	1000	14	390	390	390	390	390	390
515	5	16	300	1000	15	390	390	390	390	390	390
516	5	17	300	1000	16	390	390	390	390	390	390
517	5	18	300	1000	17	390	390	390	390	390	390
518	5	19	300	1000	18	390	390	390	390	390	390
519	5	20	300	1000	19	390	390	390	390	390	390
520	5	21	300	2666	20	390	390	390	390	390	390
521	5	22	300	1000	21	390	390	390	390	390	390
522	5	23	300	1000	22	390	390	390	390	390	390
523	5	24	300	333	23	390	390	390	390	390	390
524	5	25	300	857	24	390	390	390	390	390	390
525	5	26	300	500	25	390	390	390	390	390	390
526	5	27	300	222	26	390	390	390	390	390	390
527	5	28	300	100	27	390	390	390	390	390	390
528	5	29	300	818	28	390	390	390	390	390	390
529	5	30	300	666	29	390	390	390	390	390	390
530	5	31	300	250	30	390	390	390	390	390	390
531	5	32	300	111	31	390	390	390	390	390	390
532	5	33	300	309	32	390	390	390	390	390	390
533	5	34	300	314	33	390	390	390	390	390	390
534	5	35	300	188	34	390	390	390	390	390	390
535	5	36	300	200	35	390	390	390	390	390	390
536	5	37	300	134	36	390	390	390	390	390	390
537	5	38	300	84	37	390	390	390	390	390	390
538	5	39	300	44	38	390	390	390	390	390	390
539	5	40	300	112	39	390	390	390	390	390	390
540	5	41	300	127	40	390	390	390	390	390	390
541	5	42	300	112	41	390	390	390	390	390	390
542	5	43	300	100	42	390	390	390	390	390	390
543	5	44	300	88	43	390	390	390	390	390	390
544	5	45	300	78	44	390	390	390	390	390	390
545	5	46	300	169	45	390	390	390	390	390	390
546	5	47	300	161	46	390	390	390	390	390	390
547	5	48	300	153	47	390	390	390	390	390	390
548	5	49	300	147	48	390	390	390	390	390	390
549	5	50	300	87	49	390	390	390	390	390	390
550	5	51	300	87	50	390	390	390	390	390	390
551	5	52	300	87	51	390	390	390	390	390	390
552	5	53	300	87	52	390	390	390	390	390	390
553	5	54	300	87	53	390	390	390	390	390	390
554	5	55	300	87	54	390	390	390	390	390	390
555	5	56	300	87	55	390	390	390	390	390	390
556	5	57	300	87	56	390	390	390	390	390	390
557	5	58	300	87	57	390	390	390	390	390	390
558	5	59	300	87	58	390	390	390	390	390	390
559	5	60	300	37	59	390	390	390	390	390	390
560	5	61	300	37	60	390	390	390	390	390	390
561	5	62	300	37	61	390	390	390	390	390	390
562	5	63	300	37	62	390	390	390	390	390	390
563	5	64	300	37	63	390	390	390	390	390	390
564	5	65	300	37	64	390	390	390	390	390	390
565	5	66	300	37	65	390	390	390	390	390	390
566	5	67	300	37	66	390	390	390	390	390	390
567	5	68	300	37	67	390	390	390	390	390	390
568	5	69	300	45	68	390	390	390	390	390	390
569	5	70	300	42	69	390	390	390	390	390	390
570	5	71	300	37	70	390	390	390	390	390	390
571	5	72	300	37	71	390	390	390	390	390	390
572	5	73	300	36	72	390	390	390	390	390	390
573	5	74	300	35	73	390	390	390	390	390	390
