INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
97	10000	0	0	1000	2000	2000	2000	1800	300	30
98	10000	0	5000	3800	400	300	300	100	100	0
99	10000	0	5000	3800	400	300	300	100	100	0
100	10000	0	0	1000	2000	2000	2000	1800	300	30
101	10000	0	0	1000	2000	2000	2000	1800	300	30
102	10000	0	0	1000	2000	2000	2000	1800	300	30
103	10000	0	0	1000	2000	2000	2000	1800	300	30
104	10000	0	0	1000	2000	2000	2000	1800	300	30
105	10000	0	0	1000	2000	2000	2000	1800	300	30
106	10000	0	0	1000	2000	2000	2000	1800	300	30
107	10000	0	0	1000	2000	2000	2000	1800	300	30
108	10000	0	4000	3000	1000	800	500	400	300	0
109	10000	0	4000	3000	1000	800	500	400	300	0
110	10000	0	0	1000	2000	2000	2000	1800	300	30
111	10000	0	0	1000	2000	2000	2000	1800	300	30
112	10000	0	0	1000	2000	2000	2000	1800	300	30
113	10000	0	0	1000	2000	2000	2000	1800	300	30
114	10000	0	0	1000	2000	2000	2000	1800	300	30
115	10000	0	0	1000	2000	2000	2000	1800	300	30
116	10000	0	0	1000	2000	2000	2000	1800	300	30
117	10000	0	0	1000	2000	2000	2000	1800	300	30
118	10000	0	0	0	3000	3500	1500	1200	800	0
119	10000	0	0	0	3000	3500	1500	1200	800	0
120	10000	0	0	1000	2000	2000	2000	1800	300	30
121	10000	0	0	1000	2000	2000	2000	1800	300	30
122	10000	0	0	1000	2000	2000	2000	1800	300	30
123	10000	0	0	1000	2000	2000	2000	1800	300	30
124	10000	0	0	1000	2000	2000	2000	1800	300	30
125	10000	0	0	1000	2000	2000	2000	1800	300	30
126	10000	0	0	1000	2000	2000	2000	1800	300	30
127	10000	0	0	1000	2000	2000	2000	1800	300	30
128	10000	0	0	0	2200	2500	3000	1700	1000	0
129	10000	0	0	0	2200	2500	3000	1700	1000	0
130	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
131	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
132	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
133	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
134	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
135	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
136	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
137	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
138	10000	0	0	0	1500	3000	2700	1500	1300	0
139	10000	0	0	0	1500	3000	2700	1500	1300	0
140	10000	0	3450	4000	1500	750	300	0	0	0
141	10000	0	3450	4000	1500	750	300	0	0	0
142	10000	0	3450	4000	1500	750	300	0	0	0
143	10000	0	3450	4000	1500	750	300	0	0	0
144	10000	0	3450	4000	1500	750	300	0	0	0
145	10000	0	3450	4000	1500	750	300	0	0	0
146	10000	0	3450	4000	1500	750	300	0	0	0
147	10000	0	3450	4000	1500	750	300	0	0	0
148	10000	0	3450	4000	1500	750	300	0	0	0
149	10000	0	3450	4000	1500	750	300	0	0	0
150	10000	0	0	3450	4000	1500	1050	0	0	0
151	10000	0	0	3450	4000	1500	1050	0	0	0
152	10000	0	0	3450	4000	1500	1050	0	0	0
153	10000	0	0	3450	4000	1500	1050	0	0	0
154	10000	0	0	3450	4000	1500	1050	0	0	0
155	10000	0	0	3450	4000	1500	1050	0	0	0
156	10000	0	0	3450	4000	1500	1050	0	0	0
157	10000	0	0	3450	4000	1500	1050	0	0	0
158	10000	0	0	3450	4000	1500	1050	0	0	0
159	10000	0	0	3450	4000	1500	1050	0	0	0
160	10000	0	0	900	3450	4000	1500	150	0	0
161	10000	0	0	900	3450	4000	1500	150	0	0
162	10000	0	0	900	3450	4000	1500	150	0	0
163	10000	0	0	900	3450	4000	1500	150	0	0
164	10000	0	0	900	3450	4000	1500	150	0	0
165	10000	0	0	900	3450	4000	1500	150	0	0
166	10000	0	0	900	3450	4000	1500	150	0	0
167	10000	0	0	900	3450	4000	1500	150	0	0
168	10000	0	0	900	3450	4000	1500	150	0	0
169	10000	0	0	900	3450	4000	1500	150	0	0
170	10000	0	0	0	2800	3000	4000	200	0	0
171	10000	0	0	0	2800	3000	4000	200	0	0
172	10000	0	0	0	2800	3000	4000	200	0	0
173	10000	0	0	0	2800	3000	4000	200	0	0
174	10000	0	0	0	2800	3000	4000	200	0	0
175	10000	0	0	0	2800	3000	4000	200	0	0
176	10000	0	0	0	2800	3000	4000	200	0	0
177	10000	0	0	0	2800	3000	4000	200	0	0
178	10000	0	0	0	2800	3000	4000	200	0	0
179	10000	0	0	0	2800	3000	4000	200	0	0
180	10000	0	0	0	9000	1000	0	0	0	0
190	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
191	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
192	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
193	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
194	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
195	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
196	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
197	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
198	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
199	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
200	10000	0	3450	4000	1500	750	300	0	0	0
201	10000	0	3450	4000	1500	750	300	0	0	0
202	10000	0	3450	4000	1500	750	300	0	0	0
203	10000	0	3450	4000	1500	750	300	0	0	0
204	10000	0	3450	4000	1500	750	300	0	0	0
205	10000	0	3450	4000	1500	750	300	0	0	0
206	10000	0	3450	4000	1500	750	300	0	0	0
207	10000	0	3450	4000	1500	750	300	0	0	0
208	10000	0	3450	4000	1500	750	300	0	0	0
209	10000	0	3450	4000	1500	750	300	0	0	0
210	1000	0	0	0	524	300	150	20	5	1
211	1000	0	0	0	524	300	150	20	5	1
212	1000	0	0	0	524	300	150	20	5	1
213	1000	0	0	0	524	300	150	20	5	1
214	1000	0	0	0	524	300	150	20	5	1
215	1000	0	0	0	524	300	150	20	5	1
216	1000	0	0	0	524	300	150	20	5	1
217	1000	0	0	0	524	300	150	20	5	1
218	1000	0	0	0	524	300	150	20	5	1
219	1000	0	0	0	524	300	150	20	5	1
220	1000	0	0	0	298	400	250	40	10	2
221	1000	0	0	0	298	400	250	40	10	2
222	1000	0	0	0	298	400	250	40	10	2
223	1000	0	0	0	298	400	250	40	10	2
224	1000	0	0	0	298	400	250	40	10	2
225	1000	0	0	0	298	400	250	40	10	2
226	1000	0	0	0	298	400	250	40	10	2
227	1000	0	0	0	298	400	250	40	10	2
228	1000	0	0	0	298	400	250	40	10	2
229	1000	0	0	0	298	400	250	40	10	2
230	1000	0	0	0	0	525	350	100	20	5
231	1000	0	0	0	0	525	350	100	20	5
232	1000	0	0	0	0	525	350	100	20	5
233	1000	0	0	0	0	525	350	100	20	5
234	1000	0	0	0	0	525	350	100	20	5
235	1000	0	0	0	0	525	350	100	20	5
236	1000	0	0	0	0	525	350	100	20	5
237	1000	0	0	0	0	525	350	100	20	5
238	1000	0	0	0	0	525	350	100	20	5
239	1000	0	0	0	0	525	350	100	20	5
240	1000	0	0	0	0	0	500	400	90	10
241	1000	0	0	0	0	0	500	400	90	10
242	1000	0	0	0	0	0	500	400	90	10
243	1000	0	0	0	0	0	500	400	90	10
244	1000	0	0	0	0	0	500	400	90	10
245	1000	0	0	0	0	0	500	400	90	10
246	1000	0	0	0	0	0	500	400	90	10
247	1000	0	0	0	0	0	500	400	90	10
248	1000	0	0	0	0	0	500	400	90	10
249	1000	0	0	0	0	0	500	400	90	10
250	1000	0	0	0	0	0	0	600	380	20
251	1000	0	0	0	0	0	0	600	380	20
252	1000	0	0	0	0	0	0	600	380	20
253	1000	0	0	0	0	0	0	600	380	20
254	1000	0	0	0	0	0	0	600	380	20
255	1000	0	0	0	0	0	0	600	380	20
256	1000	0	0	0	0	0	0	600	380	20
257	1000	0	0	0	0	0	0	600	380	20
258	1000	0	0	0	0	0	0	600	380	20
259	1000	0	0	0	0	0	0	600	380	20
260	1000	0	0	0	0	0	0	0	0	1000
261	1000	0	0	0	0	0	0	0	0	1000
262	1000	0	0	0	0	0	0	0	0	1000
263	1000	0	0	0	0	0	0	0	0	1000
264	1000	0	0	0	0	0	0	0	0	1000
265	1000	0	0	0	0	0	0	0	0	1000
266	1000	0	0	0	0	0	0	0	0	1000
267	1000	0	0	0	0	0	0	0	0	1000
268	1000	0	0	0	0	0	0	0	0	1000
269	1000	0	0	0	0	0	0	0	0	1000
270	10000	0	0	900	3450	4000	1500	150	0	0
271	10000	0	0	900	3450	4000	1500	150	0	0
272	10000	0	0	900	3450	4000	1500	150	0	0
273	10000	0	0	900	3450	4000	1500	150	0	0
274	10000	0	0	900	3450	4000	1500	150	0	0
275	10000	0	0	900	3450	4000	1500	150	0	0
276	10000	0	0	900	3450	4000	1500	150	0	0
277	10000	0	0	900	3450	4000	1500	150	0	0
278	10000	0	0	900	3450	4000	1500	150	0	0
279	10000	0	0	900	3450	4000	1500	150	0	0
280	10000	0	0	0	2500	3000	4000	500	0	0
281	10000	0	0	0	2500	3000	4000	500	0	0
282	10000	0	0	0	2500	3000	4000	500	0	0
283	10000	0	0	0	2500	3000	4000	500	0	0
284	10000	0	0	0	2500	3000	4000	500	0	0
285	10000	0	0	0	2500	3000	4000	500	0	0
286	10000	0	0	0	2500	3000	4000	500	0	0
287	10000	0	0	0	2500	3000	4000	500	0	0
288	10000	0	0	0	2500	3000	4000	500	0	0
289	10000	0	0	0	2500	3000	4000	500	0	0
290	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
291	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
292	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
293	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
294	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
295	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
296	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
297	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
298	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
299	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
300	10000	0	3450	4000	1500	750	300	0	0	0
301	10000	0	3450	4000	1500	750	300	0	0	0
302	10000	0	3450	4000	1500	750	300	0	0	0
303	10000	0	3450	4000	1500	750	300	0	0	0
304	10000	0	3450	4000	1500	750	300	0	0	0
305	10000	0	3450	4000	1500	750	300	0	0	0
306	10000	0	3450	4000	1500	750	300	0	0	0
307	10000	0	3450	4000	1500	750	300	0	0	0
308	10000	0	3450	4000	1500	750	300	0	0	0
309	10000	0	3450	4000	1500	750	300	0	0	0
310	10000	0	0	3450	4000	1500	750	300	0	0
311	10000	0	0	3450	4000	1500	750	300	0	0
312	10000	0	0	3450	4000	1500	750	300	0	0
313	10000	0	0	3450	4000	1500	750	300	0	0
314	10000	0	0	3450	4000	1500	750	300	0	0
315	10000	0	0	3450	4000	1500	750	300	0	0
316	10000	0	0	3450	4000	1500	750	300	0	0
317	10000	0	0	3450	4000	1500	750	300	0	0
318	10000	0	0	3450	4000	1500	750	300	0	0
319	10000	0	0	3450	4000	1500	750	300	0	0
320	10000	0	0	0	3450	4000	1500	750	300	0
321	10000	0	0	0	3450	4000	1500	750	300	0
322	10000	0	0	0	3450	4000	1500	750	300	0
323	10000	0	0	0	3450	4000	1500	750	300	0
324	10000	0	0	0	3450	4000	1500	750	300	0
325	10000	0	0	0	3450	4000	1500	750	300	0
326	10000	0	0	0	3450	4000	1500	750	300	0
327	10000	0	0	0	3450	4000	1500	750	300	0
328	10000	0	0	0	3450	4000	1500	750	300	0
329	10000	0	0	0	3450	4000	1500	750	300	0
330	10000	0	0	0	0	3000	4000	1500	1500	0
331	10000	0	0	0	0	3000	4000	1500	1500	0
332	10000	0	0	0	0	3000	4000	1500	1500	0
333	10000	0	0	0	0	3000	4000	1500	1500	0
334	10000	0	0	0	0	3000	4000	1500	1500	0
335	10000	0	0	0	0	3000	4000	1500	1500	0
336	10000	0	0	0	0	3000	4000	1500	1500	0
337	10000	0	0	0	0	3000	4000	1500	1500	0
338	10000	0	0	0	0	3000	4000	1500	1500	0
339	10000	0	0	0	0	3000	4000	1500	1500	0
340	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
341	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
342	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
343	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
344	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
345	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
346	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
347	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
348	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
349	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
350	10000	0	3450	4000	1500	750	300	0	0	0
351	10000	0	3450	4000	1500	750	300	0	0	0
352	10000	0	3450	4000	1500	750	300	0	0	0
353	10000	0	3450	4000	1500	750	300	0	0	0
354	10000	0	3450	4000	1500	750	300	0	0	0
355	10000	0	3450	4000	1500	750	300	0	0	0
356	10000	0	3450	4000	1500	750	300	0	0	0
357	10000	0	3450	4000	1500	750	300	0	0	0
358	10000	0	3450	4000	1500	750	300	0	0	0
359	10000	0	3450	4000	1500	750	300	0	0	0
360	10000	0	0	3450	4000	1500	750	300	0	0
361	10000	0	0	3450	4000	1500	750	300	0	0
362	10000	0	0	3450	4000	1500	750	300	0	0
363	10000	0	0	3450	4000	1500	750	300	0	0
364	10000	0	0	3450	4000	1500	750	300	0	0
365	10000	0	0	3450	4000	1500	750	300	0	0
366	10000	0	0	3450	4000	1500	750	300	0	0
367	10000	0	0	3450	4000	1500	750	300	0	0
368	10000	0	0	3450	4000	1500	750	300	0	0
369	10000	0	0	3450	4000	1500	750	300	0	0
370	10000	0	0	0	3450	4000	1500	750	300	0
371	10000	0	0	0	3450	4000	1500	750	300	0
372	10000	0	0	0	3450	4000	1500	750	300	0
373	10000	0	0	0	3450	4000	1500	750	300	0
374	10000	0	0	0	3450	4000	1500	750	300	0
375	10000	0	0	0	3450	4000	1500	750	300	0
376	10000	0	0	0	3450	4000	1500	750	300	0
377	10000	0	0	0	3450	4000	1500	750	300	0
378	10000	0	0	0	3450	4000	1500	750	300	0
379	10000	0	0	0	3450	4000	1500	750	300	0
380	10000	0	0	0	0	3000	4000	1500	1500	0
381	10000	0	0	0	0	3000	4000	1500	1500	0
382	10000	0	0	0	0	3000	4000	1500	1500	0
383	10000	0	0	0	0	3000	4000	1500	1500	0
384	10000	0	0	0	0	3000	4000	1500	1500	0
385	10000	0	0	0	0	3000	4000	1500	1500	0
386	10000	0	0	0	0	3000	4000	1500	1500	0
387	10000	0	0	0	0	3000	4000	1500	1500	0
388	10000	0	0	0	0	3000	4000	1500	1500	0
389	10000	0	0	0	0	3000	4000	1500	1500	0
390	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
391	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
392	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
393	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
394	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
395	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
396	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
397	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
398	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
399	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
400	10000	0	3450	4000	1500	750	300	0	0	0
401	10000	0	3450	4000	1500	750	300	0	0	0
402	10000	0	3450	4000	1500	750	300	0	0	0
403	10000	0	3450	4000	1500	750	300	0	0	0
404	10000	0	3450	4000	1500	750	300	0	0	0
405	10000	0	3450	4000	1500	750	300	0	0	0
406	10000	0	3450	4000	1500	750	300	0	0	0
407	10000	0	3450	4000	1500	750	300	0	0	0
408	10000	0	3450	4000	1500	750	300	0	0	0
409	10000	0	3450	4000	1500	750	300	0	0	0
410	10000	0	0	3450	4000	1500	1000	50	0	0
411	10000	0	0	3450	4000	1500	1000	50	0	0
412	10000	0	0	3450	4000	1500	1000	50	0	0
413	10000	0	0	3450	4000	1500	1000	50	0	0
414	10000	0	0	3450	4000	1500	1000	50	0	0
415	10000	0	0	3450	4000	1500	1000	50	0	0
416	10000	0	0	3450	4000	1500	1000	50	0	0
417	10000	0	0	3450	4000	1500	1000	50	0	0
418	10000	0	0	3450	4000	1500	1000	50	0	0
419	10000	0	0	3450	4000	1500	1000	50	0	0
420	10000	0	0	300	3450	4000	1500	750	0	0
421	10000	0	0	300	3450	4000	1500	750	0	0
422	10000	0	0	300	3450	4000	1500	750	0	0
423	10000	0	0	300	3450	4000	1500	750	0	0
424	10000	0	0	300	3450	4000	1500	750	0	0
425	10000	0	0	300	3450	4000	1500	750	0	0
426	10000	0	0	300	3450	4000	1500	750	0	0
427	10000	0	0	300	3450	4000	1500	750	0	0
428	10000	0	0	300	3450	4000	1500	750	0	0
429	10000	0	0	300	3450	4000	1500	750	0	0
430	10000	0	0	0	2500	3000	4000	500	0	0
431	10000	0	0	0	2500	3000	4000	500	0	0
432	10000	0	0	0	2500	3000	4000	500	0	0
433	10000	0	0	0	2500	3000	4000	500	0	0
434	10000	0	0	0	2500	3000	4000	500	0	0
435	10000	0	0	0	2500	3000	4000	500	0	0
436	10000	0	0	0	2500	3000	4000	500	0	0
437	10000	0	0	0	2500	3000	4000	500	0	0
438	10000	0	0	0	2500	3000	4000	500	0	0
439	10000	0	0	0	2500	3000	4000	500	0	0
440	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
441	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
442	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
443	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
444	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
445	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
446	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
447	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
448	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
449	1000000	0	239000	400000	200000	100000	50000	10000	1000	0
450	10000	0	3450	4000	1500	750	300	0	0	0
451	10000	0	3450	4000	1500	750	300	0	0	0
452	10000	0	3450	4000	1500	750	300	0	0	0
453	10000	0	3450	4000	1500	750	300	0	0	0
454	10000	0	3450	4000	1500	750	300	0	0	0
455	10000	0	3450	4000	1500	750	300	0	0	0
456	10000	0	3450	4000	1500	750	300	0	0	0
457	10000	0	3450	4000	1500	750	300	0	0	0
458	10000	0	3450	4000	1500	750	300	0	0	0
459	10000	0	3450	4000	1500	750	300	0	0	0
460	10000	0	0	3450	4000	1500	750	300	0	0
461	10000	0	0	3450	4000	1500	750	300	0	0
462	10000	0	0	3450	4000	1500	750	300	0	0
463	10000	0	0	3450	4000	1500	750	300	0	0
464	10000	0	0	3450	4000	1500	750	300	0	0
465	10000	0	0	3450	4000	1500	750	300	0	0
466	10000	0	0	3450	4000	1500	750	300	0	0
467	10000	0	0	3450	4000	1500	750	300	0	0
468	10000	0	0	3450	4000	1500	750	300	0	0
469	10000	0	0	3450	4000	1500	750	300	0	0
470	10000	0	0	0	3450	4000	1500	750	300	0
471	10000	0	0	0	3450	4000	1500	750	300	0
472	10000	0	0	0	3450	4000	1500	750	300	0
473	10000	0	0	0	3450	4000	1500	750	300	0
474	10000	0	0	0	3450	4000	1500	750	300	0
475	10000	0	0	0	3450	4000	1500	750	300	0
476	10000	0	0	0	3450	4000	1500	750	300	0
477	10000	0	0	0	3450	4000	1500	750	300	0
478	10000	0	0	0	3450	4000	1500	750	300	0
479	10000	0	0	0	3450	4000	1500	750	300	0
480	10000	0	0	0	0	3000	4000	1500	1500	0
481	10000	0	0	0	0	3000	4000	1500	1500	0
482	10000	0	0	0	0	3000	4000	1500	1500	0
483	10000	0	0	0	0	3000	4000	1500	1500	0
484	10000	0	0	0	0	3000	4000	1500	1500	0
485	10000	0	0	0	0	3000	4000	1500	1500	0
486	10000	0	0	0	0	3000	4000	1500	1500	0
487	10000	0	0	0	0	3000	4000	1500	1500	0
488	10000	0	0	0	0	3000	4000	1500	1500	0
489	10000	0	0	0	0	3000	4000	1500	1500	0
490	10000	0	0	0	0	4000	4000	1800	200	0
491	10000	0	0	0	0	4000	4000	1500	500	0
492	10000	0	0	0	0	3000	4000	2000	1000	0
493	10000	0	0	0	0	1000	4000	4800	200	0
494	10000	0	0	0	0	500	4000	5000	500	0
495	10000	0	0	0	0	0	3400	5000	1500	1
496	1000	1000	0	0	0	0	0	0	0	0
497	1000	1000	0	0	0	0	0	0	0	0
498	1000	1000	0	0	0	0	0	0	0	0
499	1000	1000	0	0	0	0	0	0	0	0
500	1000	1000	0	0	0	0	0	0	0	0
501	1000	0	0	400	300	210	80	10	0	0
502	1000	0	0	200	400	300	70	30	0	0
503	1000	0	0	0	360	280	190	120	50	0
504	1000	0	0	0	0	400	330	190	80	0
505	1000	0	0	0	50	200	320	240	190	0
