INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
3021	±‰“ÏŒ⁄πÍ	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68850	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3029	Œ⁄πÍ±¶±¶	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68850	0	0	0	0	0	0	0	0	0	0	0	10206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3030	≥…ƒÍπ∑	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3031	±‰“Ïπ∑	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3039	π∑±¶±¶	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3040	≥…ƒÍ¥Ã‚¨	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0
3041	±‰“Ï¥Ã‚¨	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0
3049	¥Ã‚¨±¶±¶	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0
3050	≥…ƒÍ∫Ô◊”	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	43648	0	0	0	0	0	0
3051	±‰“Ï∫Ô◊”	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	43648	0	0	0	0	0	0
3059	∫Ô◊”±¶±¶	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	43648	0	0	0	0	0	0
3060	≥…ƒÍÀ… Û	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0
3061	±‰“ÏÀ… Û	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0
3062	±‰“ÏÀ… Û	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0
3069	À… Û±¶±¶	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0
3070	≥…ƒÍ‰Ω–‹	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	55912	0	0	0	0	0	43648	0	0	0	0	0	0	0
3071	±‰“Ï‰Ω–‹	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	55912	0	0	0	0	0	43648	0	0	0	0	0	0	0
3072	±‰“Ï‰Ω–‹	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	55912	0	0	0	0	0	43648	0	0	0	0	0	0	0
3079	‰Ω–‹±¶±¶	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	55912	0	0	0	0	0	43648	0	0	0	0	0	0	0
3080	≥…ƒÍ–ƒ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31981	0	0	0	0	0	0	0	0	0	0	0	68850	0	0	0	0	0
3081	±‰“Ï–ƒ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31981	0	0	0	0	0	0	0	0	0	0	0	68850	0	0	0	0	0
3082	±‰“Ï–ƒ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31981	0	0	0	0	0	0	0	0	0	0	0	68850	0	0	0	0	0
3089	–ƒ±¶±¶	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31981	0	0	0	0	0	0	0	0	0	0	0	68850	0	0	0	0	0
3090	≥…ƒÍÚ·ÚÊ	0	0	369043	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3091	±‰“ÏÚ·ÚÊ	0	0	369043	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3092	±‰“ÏÚ·ÚÊ	0	0	369043	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3099	Ú·ÚÊ±¶±¶	0	0	369043	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3100	≥…ƒÍÚ˘Ú	0	0	0	0	0	68850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	20852	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3101	±‰“ÏÚ˘Ú	0	0	0	0	0	68850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	20852	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3102	±‰“ÏÚ˘Ú	0	0	0	0	0	68850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	20852	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3109	Ú˘Ú±¶±¶	0	0	0	0	0	68850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	20852	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3110	≥…ƒÍ¥ÛÛ´ÚÎ	0	0	0	0	0	0	0	369043	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3111	±‰“Ï¥ÛÛ´ÚÎ	0	0	0	0	0	0	0	369043	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3112	±‰“Ï¥ÛÛ´ÚÎ	0	0	0	0	0	0	0	369043	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3119	¥ÛÛ´ÚÎ±¶±¶	0	0	0	0	0	0	0	369043	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3120	≥…ƒÍˆ˘”„	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3121	±‰“Ïˆ˘”„	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3122	±‰“Ïˆ˘”„	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3129	ˆ˘”„±¶±¶	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3130	≥…ƒÍ√®Õ∑”•	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0
3131	±‰“Ï√®Õ∑”•	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0
3132	±‰“Ï√®Õ∑”•	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0
3133	±‰“Ï√®Õ∑”•	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0
3139	√®Õ∑”•±¶±¶	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0
3140	≥…ƒÍ‚µ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0
3141	±‰“Ï‚µ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0
3142	±‰“Ï‚µ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0
3143	±‰“Ï‚µ	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0
3149	‚µ±¶±¶	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43648	0	0	0	0	0	0	0	0	0
3150	≥…ƒÍ¿œª¢	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3151	±‰“Ï¿œª¢	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3152	±‰“Ï¿œª¢	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3153	±‰“Ï¿œª¢	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3159	¿œª¢±¶±¶	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	369043	0	0	0	20852	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
